                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  0.768,                 1.4282,                 1.0673,                0.90639,                0.77202,                0.92051,                0.66866,                 0.9462,                 2.5516,                  1.306,             0.00025005,             0.00025005,             0.00025005
                      2,                0.86715,                 1.3576,                  1.192,                0.90741,                0.87473,                0.93559,                0.65712,                 1.0596,                 2.1367,                 1.3392,             0.00050654,             0.00050654,             0.00050654
